Co molar ratio,Mn molar ratio,Fe molar ratio,Ni molar ratio,I (mA/cm2),FE (%),stability (-)
0.1,0.5,0.3,0.1,19.49,16.09,0.85
0.1,0.5,0.2,0.2,19.06,16.39,0.85
0.1,0.5,0.1,0.3,21.67,13.28,0.84
0.1,0.5,0.0,0.4,16.48,9.08,0.99
0.1,0.4,0.5,0.0,21.85,25.12,0.85
0.1,0.4,0.4,0.1,21.71,21.43,0.90
0.1,0.4,0.3,0.2,22.25,23.33,0.98
0.1,0.4,0.2,0.3,22.13,21.76,0.93
0.1,0.4,0.1,0.4,25.35,19.98,0.86
0.1,0.4,0.0,0.5,24.08,17.90,0.88
0.1,0.3,0.6,0.0,21.21,22.42,0.96
0.1,0.3,0.5,0.1,22.54,33.07,1.00
0.1,0.3,0.4,0.2,23.52,34.46,1.01
0.1,0.3,0.3,0.3,25.08,40.06,0.98
0.1,0.3,0.2,0.4,24.75,39.98,0.97
0.1,0.3,0.1,0.5,25.65,38.09,0.83
0.1,0.3,0.0,0.6,25.44,34.74,0.86
0.1,0.2,0.7,0.0,22.85,32.92,1.01
0.1,0.2,0.6,0.1,22.63,43.00,1.05
0.1,0.2,0.5,0.2,25.42,47.84,1.04
0.1,0.2,0.4,0.3,26.25,51.29,1.03
0.1,0.2,0.3,0.4,26.94,48.85,1.02
0.1,0.2,0.2,0.5,27.85,52.90,0.98
0.1,0.2,0.1,0.6,27.40,48.34,0.87
0.1,0.2,0.0,0.7,25.35,38.23,0.61
0.1,0.1,0.8,0.0,23.04,36.49,1.03
0.1,0.1,0.7,0.1,24.56,43.99,1.05
0.1,0.1,0.6,0.2,25.35,50.41,1.04
0.1,0.1,0.5,0.3,26.06,54.20,1.03
0.1,0.1,0.4,0.4,27.75,59.29,1.03
0.1,0.1,0.3,0.5,28.94,54.76,1.00
0.1,0.1,0.2,0.6,28.52,54.17,0.98
0.1,0.1,0.1,0.7,29.35,54.47,0.91
0.1,0.1,0.0,0.8,27.67,54.72,0.62
0.1,0.0,0.9,0.0,22.27,41.37,1.03
0.1,0.0,0.8,0.1,23.04,42.64,1.03
0.1,0.0,0.7,0.2,24.85,59.52,1.02
0.1,0.0,0.6,0.3,27.25,67.37,1.06
0.1,0.0,0.5,0.4,28.40,67.96,1.04
0.1,0.0,0.4,0.5,28.98,70.35,1.05
0.1,0.0,0.3,0.6,29.08,73.98,1.06
0.1,0.0,0.2,0.7,29.65,66.23,1.02
0.1,0.0,0.1,0.8,29.25,66.64,1.01
0.1,0.0,0.0,0.9,29.23,62.43,0.97
0.0,1.0,0.0,0.0,22.95,6.72,0.37
0.0,0.9,0.1,0.0,17.56,7.69,0.40
0.0,0.9,0.0,0.1,19.37,6.20,0.77
0.0,0.8,0.2,0.0,15.76,10.49,0.46
0.0,0.8,0.1,0.1,19.36,7.01,0.40
0.0,0.8,0.0,0.2,17.04,6.21,0.86
0.0,0.7,0.3,0.0,14.33,11.76,0.50
0.0,0.7,0.2,0.1,22.19,8.78,0.44
0.0,0.7,0.1,0.2,22.29,7.76,0.76
0.0,0.7,0.0,0.3,22.63,6.24,0.90
0.0,0.6,0.4,0.0,16.00,12.60,0.62
0.0,0.6,0.3,0.1,12.38,10.86,0.51
0.0,0.6,0.2,0.2,15.78,9.79,0.43
0.0,0.6,0.1,0.3,17.25,7.96,0.79
0.0,0.6,0.0,0.4,22.42,6.09,0.90
0.0,0.5,0.5,0.0,16.57,17.21,0.64
0.0,0.5,0.4,0.1,12.39,13.17,0.73
0.0,0.5,0.3,0.2,18.41,11.75,0.73
